ID;Área;Equipamento;QT_UN_APREENDIDAS;QT_UN_LACRADAS;QT_UN_RETIDAS;Valor Estimado;QT_UN_RETIRADAS;Mês;Data;DT_EXTRACAO;Ano
36246;4-Aduana;Outros;;42014;;252084,00;42014;dez;18/12/2020;28/12/2021;2020
26307;4-Aduana;Equipamento de Radiação Restrita;;27;;13500,00;27;dez;18/12/2020;28/12/2021;2020
36246;4-Aduana;Bloqueador de sinal (Jammer);;8;;8000,00;8;dez;18/12/2020;28/12/2021;2020
36246;4-Aduana;Decodificador de sinal para SeAC;;12;;6000,00;12;dez;18/12/2020;28/12/2021;2020
26307;4-Aduana;Bloqueador de sinal (Jammer);;23;;23000,00;23;dez;18/12/2020;28/12/2021;2020
42728;4-Aduana;SmartTV Box;25000;;;7500000,00;25000;out;25/10/2020;28/12/2021;2020
26307;4-Aduana;Outros;;10220;;112500,00;10220;dez;18/12/2020;28/12/2021;2020
75654;3-E-commerce;Outros;;2144;;361281,00;2144;nov;21/11/2021;28/12/2021;2021
75654;3-E-commerce;Outros;;3910;;492948,38;3910;nov;21/11/2021;28/12/2021;2021
74595;4-Aduana;SmartTV Box;;;4800;1440000,00;4800;set;28/09/2021;28/12/2021;2021
75654;3-E-commerce;Outros;;3876;;455806,11;3876;nov;21/11/2021;28/12/2021;2021
40168;2-Provedores de SCM;Equipamento de Rede de Dados;1;4;;5000,00;5;out;05/10/2021;28/12/2021;2021
36246;4-Aduana;SmartTV Box;;122;;36600,00;122;dez;18/12/2020;28/12/2021;2020
40168;2-Provedores de SCM;Equipamento óptico;190;1;;4000,00;191;out;05/10/2021;28/12/2021;2021
39736;1-Comércio;Equipamento de Radiação Restrita;;1;;200000,00;1;jun;22/06/2021;28/12/2021;2021
42422;1-Comércio;Celular e acessórios;;15143;;181716,00;15143;dez;18/12/2020;28/12/2021;2020
42377;4-Aduana;Equipamento de Radiação Restrita;2000;;;280000,00;2000;out;25/10/2020;28/12/2021;2020
42422;1-Comércio;SmartTV Box;;35;;9800,00;35;dez;18/12/2020;28/12/2021;2020
44283;4-Aduana;SmartTV Box;;500;;150000,00;500;dez;13/12/2020;28/12/2021;2020
42377;4-Aduana;SmartTV Box;4000;;;1200000,00;4000;out;25/10/2020;28/12/2021;2020
44167;1-Comércio;Celular e acessórios;;6274;;94000,00;6274;dez;16/12/2020;28/12/2021;2020
71997;4-Aduana;Outros;15;;;;15;jul;26/07/2021;28/12/2021;2021
